layer_name,type_of_information,old_folder,folder,variable,institution,description,unit,type_of_spatial_data,original_raster_range_values,year_of_original_data,original_pixel_resolution,final_pixel_resolution,extent,primary_or_derived,derived_from,website,source,obtained_through,observations
norut_myr_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: mires,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
norut_ridges,landscape,p_RenRein_norut,p_sam_landscape,Land cover: ridges,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
norut_ridges_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: ridges,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
norut_skog,landscape,p_RenRein_norut,p_sam_landscape,Land cover: forest,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
norut_skog_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: forest,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
norut_snow,landscape,p_RenRein_norut,p_sam_landscape,Land cover: snow,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
norut_snow_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: snow,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
norut_snowbed,landscape,p_RenRein_norut,p_sam_landscape,Land cover: snowbed,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
norut_snowbed_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: snowbed,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
beitedyr_10000,NA,u_bram.van.moorter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
beitedyr_5000,NA,u_bram.van.moorter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dem_10m_nosefi_float_slope,NA,g_Elevation_Fenoscandia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
houses_100,NA,p_prodchange_envpointsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
houses_1000,NA,p_prodchange_envpointsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
houses_10000,NA,p_prodchange_envpointsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
houses_250,NA,p_prodchange_envpointsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
houses_2500,NA,p_prodchange_envpointsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
houses_500,NA,p_prodchange_envpointsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
houses_5000,NA,p_prodchange_envpointsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lakes_1000,NA,p_prodchange_envpolyTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lakes_10000,NA,p_prodchange_envpolyTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lakes_250,NA,p_prodchange_envpolyTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lakes_2500,NA,p_prodchange_envpolyTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lakes_500,NA,p_prodchange_envpolyTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lakes_5000,NA,p_prodchange_envpolyTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maxAverageAllYrs_1000_100m_2,NA,g_LandCover_Fenoscndia_PHENOLOGY_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maxAverageAllYrs_10000_100m_2,NA,g_LandCover_Fenoscndia_PHENOLOGY_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maxAverageAllYrs_250_100m_2,NA,g_LandCover_Fenoscndia_PHENOLOGY_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maxAverageAllYrs_2500_100m_2,NA,g_LandCover_Fenoscndia_PHENOLOGY_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maxAverageAllYrs_500_100m_2,NA,g_LandCover_Fenoscndia_PHENOLOGY_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maxAverageAllYrs_5000_100m_2,NA,g_LandCover_Fenoscndia_PHENOLOGY_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_dyrka_100_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_dyrka_1000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_dyrka_10000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_dyrka_250_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_dyrka_2500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_dyrka_500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_dyrka_5000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_impediment_100_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_impediment_1000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_impediment_10000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_impediment_250_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_impediment_2500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_impediment_500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_impediment_5000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lav_100_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lav_1000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lav_10000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lav_250_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lav_2500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lav_500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lav_5000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lavskog_100_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lavskog_1000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lavskog_10000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lavskog_250_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lavskog_2500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lavskog_500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_lavskog_5000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_myr_100_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_myr_1000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_myr_10000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_myr_250_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_myr_2500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_myr_500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_myr_5000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_open_100_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_open_1000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_open_10000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_open_250_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_open_2500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_open_500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_open_5000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_skog_100_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_skog_1000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_skog_10000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_skog_250_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_skog_2500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_skog_500_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norut_skog_5000_100m,NA,g_LandCover_Norway_NORUT_SAM_TT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
powerlines_100,NA,p_prodchange_roadsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
powerlines_1000,NA,p_prodchange_roadsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
powerlines_10000,NA,p_prodchange_roadsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
powerlines_250,NA,p_prodchange_roadsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
powerlines_2500,NA,p_prodchange_roadsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
powerlines_500,NA,p_prodchange_roadsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
powerlines_5000,NA,p_prodchange_roadsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
private_cabins_100,NA,p_prodchange_envpointsTT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
